Nr,Y,X,Z,Code
11083500,2627144.244,1239766.654,435.079,1
629448241609,2629449.041,1241610.201,426.604,
6005017,2629448.097,1241607.649,426.752,
629437241609,2629438.185,1241609.235,426.517,
6005535,2628952.727,1241643.189,428.991,
6005532,2629389.453,1241805.044,427.705,
6005542,2629802.763,1241675.810,425.747,
6005014,2629554.329,1241381.781,426.943,
6005521,2629230.790,1241329.180,427.973,
6005253,2629517.845,1241101.923,427.090,
629535241119,2629536.193,1241119.745,427.303,
6005522,2629956.235,1241333.731,426.247,
11085480,2630908.869,1240356.925,450.887,
11084590,2629739.365,1238666.885,428.396,
6005134,2629928.466,1239568.023,429.105,
6005282,2629890.311,1239757.605,428.657,
6005397,2629774.692,1240036.136,435.220,
6005398,2629683.707,1240050.976,433.310,
630256239784,2630257.279,1239785.170,426.899,
630448239632,2630448.507,1239632.336,427.613,
630457239633,2630457.971,1239633.852,427.700,
630689239656,2630689.873,1239656.497,425.005,
630678239647,2630678.832,1239648.185,425.077,
6005478,2631000.284,1240056.427,433.166,
6005525,2630792.021,1240317.303,452.183,
6005096,2630513.760,1240729.314,440.828,
6005524,2630490.143,1240886.769,439.299,
6005087,2630170.820,1241105.204,426.260,
6005523,2629320.668,1240677.638,428.678,
6005061,2629278.586,1240734.704,428.599,
629369240140,2629370.300,1240140.917,437.941,
6005082,2629533.097,1240041.848,434.866,
629515240029,2629515.578,1240029.426,433.867,
629516240024,2629516.629,1240024.876,433.773,
630187240439,2630187.758,1240440.105,440.210,
6005220,2630283.490,1240484.064,441.151,
6005414,2630525.553,1239565.269,425.964,
11084040,2629290.590,1241230.224,427.601,
